File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
T2022-2778,2022/121,Charter Revision Referendums,Local Laws,City Council,,0,"Amendments to the New York City Charter adopted by the voters at the general election held on November 8, 2022."
Res 0451-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an amendment to a previously approved real property tax exemption pursuant to Section 577 of the Private Housing Finance Law for property located at (Block 1072, p/o Lot 24 (Tentative Lot 1002)) Manhattan (Preconsidered L.U. No. 154)."
Res 0453-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,"Communication from the Mayor – Submitting the name of James Van Bramer to the Council for its advice and consent regarding his appointment to the New York City Public Design Commission, pursuant to Sections 31 and 851 of the City Charte"
Res 0452-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,"Communication from the Mayor – Submitting the name of Isabel Castilla to the Council for its advice and consent regarding her appointment to the New York City Public Design Commission, pursuant to Sections 31 and 851 of the City Charte"
M 0104-2022,,Communication,"Received, Ordered, Printed and Filed",City Council,,0,"Communication from the Comptroller – Submitting estimates of the City’s debt-incurring power for Fiscal Years 2023-2026, pursuant to Section 232 of the New York City Char"
LU 0154-2022,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"505 West 43rd Street, Block 1072, Lot 1201, Manhattan, Community District No. 4, Council District No. 3."
Res 0440-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,2,Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget.
Res 0432-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF LILY SHAPIRO AS A MEMBER OF THE NEW YORK CITY LOCAL CONDITIONAL RELEASE COMMISSION (M. 97-2022).
Res 0431-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF DAVID FULLARD AS A MEMBER OF THE NEW YORK CITY LOCAL CONDITIONAL RELEASE COMMISSION (M. 96-2022).
Res 0430-2022,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF GREGORIO MAYERS AS A MEMBER OF THE NEW YORK CITY LOCAL CONDITIONAL RELEASE COMMISSION (M. 95-2022).
Res 0429-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an amendment to a previously approved real property tax exemption pursuant to Section 577 of the Private Housing Finance Law for property located at (Block 1831, Lot 53), Manhattan (Preconsidered L.U. No. 153)."
Res 0428-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an amendment to a previously approved real property tax exemption pursuant to Section 577 of the Private Housing Finance Law for property located at (Block 1904, Lot 6), Manhattan (Preconsidered L.U. No. 152)."
Res 0427-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 9663, Lots 2 and 20) Queens, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 151)."
Res 0426-2022,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 1909, Lot 1; Block 1956, Lot 29) Queens, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 150)."
